NumID,Honest,Transaction Trials,Transaction Success,Transaction time(per),Authenticated count,Sound count,Correct count,Has Balance count,Successful,Timer Per Validator(ms)
,,,,569,9,0,0,9,false,0
,,,,406,9,0,0,9,false,0
,,,,807,9,0,0,9,false,0
,,,,793,9,0,0,9,false,0
,,,,640,9,0,0,9,false,0
,,,,606,9,0,0,9,false,0
,,,,698,9,0,0,9,false,0
,,,,728,9,0,0,9,false,0
,,,,391,9,0,0,9,false,0
,,,,510,9,0,0,9,false,0
,,,,488,9,0,0,9,false,0

792834394,true,30,0,,,,,1436,9,9,0,9,false,0
,,,,1463,9,0,0,9,false,0
,,,,1131,9,0,0,9,false,0
,,,,520,9,0,0,9,false,0
,,,,884,9,0,0,9,false,0
,,,,906,9,0,0,9,false,0
,,,,243,9,0,0,9,false,0
,,,,369,9,0,0,9,false,0
,,,,859,9,0,0,9,false,0
,,,,393,9,0,0,9,false,0
,,,,253,9,0,0,9,false,0
,,,,226,9,0,0,9,false,0
,,,,618,9,0,0,9,false,0
,,,,592,9,0,0,9,false,0
,,,,380,9,0,0,9,false,0
,,,,598,8,0,0,8,false,0
,,,,569,8,0,0,8,false,0
,,,,483,8,0,0,8,false,0
,,,,559,8,0,0,8,false,0
,,,,725,8,0,0,8,false,0
,,,,631,8,0,0,8,false,0
,,,,402,9,0,0,9,false,0
,,,,677,9,0,0,9,false,0
,,,,816,9,0,0,9,false,0
,,,,256,9,0,0,9,false,0
,,,,248,9,0,0,9,false,0
,,,,266,9,0,0,9,false,0
,,,,698,9,0,0,9,false,0
,,,,299,9,0,0,9,false,0
,,,,233,9,0,0,9,false,0

659714803,true,30,0,,,,,1396,9,9,0,9,false,0
,,,,1387,9,0,0,9,false,0
,,,,1072,9,0,0,9,false,0
,,,,208,9,0,0,9,false,0
,,,,222,9,0,0,9,false,0
,,,,280,9,0,0,9,false,0
,,,,902,9,0,0,9,false,0
,,,,723,9,0,0,9,false,0
,,,,288,9,0,0,9,false,0
,,,,827,9,0,0,9,false,0
,,,,698,9,0,0,9,false,0
,,,,618,9,0,0,9,false,0
,,,,384,8,0,0,8,false,0
,,,,579,8,0,0,8,false,0
,,,,609,8,0,0,8,false,0
,,,,305,9,0,0,9,false,0
,,,,235,9,0,0,9,false,0
,,,,318,9,0,0,9,false,0
,,,,536,9,0,0,9,false,0
,,,,312,9,0,0,9,false,0
,,,,269,9,0,0,9,false,0
,,,,656,9,0,0,9,false,0
,,,,659,9,0,0,9,false,0
,,,,422,9,0,0,9,false,0
,,,,732,9,0,0,9,false,0
,,,,732,9,0,0,9,false,0
,,,,569,9,0,0,9,false,0
,,,,336,9,0,0,9,false,0
,,,,592,9,0,0,9,false,0
,,,,633,9,0,0,9,false,0

609289810,true,30,0,,,,,1547,9,9,0,9,false,0
,,,,1624,9,0,0,9,false,0
,,,,1270,9,0,0,9,false,0
,,,,975,9,0,0,9,false,0
,,,,1090,9,0,0,9,false,0
,,,,714,9,0,0,9,false,0
,,,,937,9,0,0,9,false,0
,,,,857,9,0,0,9,false,0
,,,,662,9,0,0,9,false,0
,,,,672,8,0,0,8,false,0
,,,,720,8,0,0,8,false,0
,,,,624,8,0,0,8,false,0
,,,,387,9,0,0,9,false,0
,,,,498,9,0,0,9,false,0
,,,,750,9,0,0,9,false,0
,,,,323,9,0,0,9,false,0
,,,,256,9,0,0,9,false,0
,,,,317,9,0,0,9,false,0
,,,,658,9,0,0,9,false,0
,,,,426,9,0,0,9,false,0
,,,,261,9,0,0,9,false,0
,,,,971,9,0,0,9,false,0
,,,,742,9,0,0,9,false,0
,,,,469,9,0,0,9,false,0
,,,,819,9,0,0,9,false,0
,,,,838,9,0,0,9,false,0
,,,,606,9,0,0,9,false,0
,,,,608,9,0,0,9,false,0
,,,,491,9,0,0,9,false,0
,,,,259,9,0,0,9,false,0

697350967,true,30,0,,,,,1391,8,8,0,8,false,0
,,,,1554,8,0,0,8,false,0
,,,,1063,8,0,0,8,false,0
,,,,334,9,1,0,9,false,0
,,,,876,9,0,0,9,false,0
,,,,984,9,0,0,9,false,0
,,,,253,9,0,0,9,false,0
,,,,280,9,0,0,9,false,0
,,,,659,9,0,0,9,false,0
,,,,787,9,0,0,9,false,0
,,,,335,9,0,0,9,false,0
,,,,254,9,0,0,9,false,0
,,,,734,9,0,0,9,false,0
,,,,591,9,0,0,9,false,0
,,,,488,9,0,0,9,false,0
,,,,409,9,0,0,9,false,0
,,,,630,9,0,0,9,false,0
,,,,664,9,0,0,9,false,0
,,,,413,9,0,0,9,false,0
,,,,644,9,0,0,9,false,0
,,,,841,9,0,0,9,false,0
,,,,374,9,0,0,9,false,0
,,,,586,9,0,0,9,false,0
,,,,810,9,0,0,9,false,0
,,,,260,9,0,0,9,false,0
,,,,271,9,0,0,9,false,0
,,,,249,9,0,0,9,false,0
,,,,768,9,0,0,9,false,0
,,,,534,9,0,0,9,false,0
,,,,252,9,0,0,9,false,0

Success Rate = 0.0
